date	likes	retweets	replies
Thu, 08 Oct 2020 01:52:53 GMT	117868	18947	5217
Thu, 08 Oct 2020 01:58:12 GMT	88057	14691	2677
Thu, 08 Oct 2020 02:03:40 GMT	51077	10895	2597
Thu, 08 Oct 2020 02:10:47 GMT	142334	21808	3301
Thu, 08 Oct 2020 02:15:28 GMT	39704	7579	2915
Thu, 08 Oct 2020 02:23:08 GMT	75885	14517	3828
Thu, 08 Oct 2020 02:25:14 GMT	155930	22199	4560
Thu, 08 Oct 2020 02:32:55 GMT	87849	18134	6167
Thu, 08 Oct 2020 02:33:09 GMT	903589	269756	25671
Thu, 08 Oct 2020 02:44:16 GMT	451118	119356	14017
Thu, 08 Oct 2020 02:47:01 GMT	1098788	99380	28027
Thu, 08 Oct 2020 03:14:25 GMT	77855	20721	4076
Thu, 08 Oct 2020 15:40:00 GMT	100174	16946	4884
Thu, 08 Oct 2020 16:50:00 GMT	192358	29282	9814
Thu, 08 Oct 2020 18:04:00 GMT	57272	9323	2328
Thu, 08 Oct 2020 19:05:00 GMT	45550	8562	4472
Thu, 08 Oct 2020 20:24:00 GMT	344050	35301	17446
Thu, 08 Oct 2020 21:42:00 GMT	17665	3935	1029
Thu, 08 Oct 2020 21:56:04 GMT	10862	2363	1038
Thu, 08 Oct 2020 22:15:54 GMT	12424	2568	615
Thu, 08 Oct 2020 22:20:39 GMT	74510	11756	1651
Thu, 08 Oct 2020 22:51:00 GMT	113760	14394	7643
Thu, 08 Oct 2020 23:25:00 GMT	29858	6730	2311
Fri, 09 Oct 2020 00:01:00 GMT	25537	4688	2181
Fri, 09 Oct 2020 00:15:00 GMT	22382	4697	1464
Fri, 09 Oct 2020 00:45:00 GMT	31104	7438	9483
Fri, 09 Oct 2020 01:15:00 GMT	26792	4843	1190
Fri, 09 Oct 2020 02:35:00 GMT	297056	58713	14958
Fri, 09 Oct 2020 13:42:21 GMT	131887	15038	4867
Fri, 09 Oct 2020 14:15:00 GMT	107072	15972	6126
Fri, 09 Oct 2020 15:08:00 GMT	651028	71041	22489
Fri, 09 Oct 2020 16:01:30 GMT	39932	9738	1761
Fri, 09 Oct 2020 16:46:00 GMT	58467	9214	1352
Fri, 09 Oct 2020 17:05:07 GMT	5860	1624	798
Fri, 09 Oct 2020 17:35:00 GMT	28004	10272	1705
Fri, 09 Oct 2020 18:08:34 GMT	2783	591	509
Fri, 09 Oct 2020 18:52:00 GMT	292056	47310	14951
Fri, 09 Oct 2020 20:05:00 GMT	98637	18457	5313
Fri, 09 Oct 2020 21:25:20 GMT	12703	2942	1885
Fri, 09 Oct 2020 22:30:00 GMT	43174	10022	2174
Fri, 09 Oct 2020 23:49:56 GMT	190992	44564	9283
Sat, 10 Oct 2020 00:20:00 GMT	42794	8841	5497
Sat, 10 Oct 2020 13:35:00 GMT	34110	9366	3351
Sat, 10 Oct 2020 14:03:47 GMT	50172	9596	2673
Sat, 10 Oct 2020 14:55:00 GMT	16797	4180	1312
Sat, 10 Oct 2020 15:14:42 GMT	112985	20794	10420
Sat, 10 Oct 2020 15:22:00 GMT	31040	8439	2336
Sat, 10 Oct 2020 16:48:00 GMT	55298	11750	8763
Sat, 10 Oct 2020 17:45:00 GMT	287531	36553	22443
Sat, 10 Oct 2020 19:30:00 GMT	204160	31902	16439
Sat, 10 Oct 2020 20:20:00 GMT	29268	7050	5992
Sat, 10 Oct 2020 20:55:33 GMT	17811	3630	2927
