date	likes	retweets	replies
Wed, 04 Nov 2020 15:35:15 GMT	157582	71155	32247
Wed, 04 Nov 2020 16:55:31 GMT	620308	198580	178609
Wed, 04 Nov 2020 17:01:15 GMT	0	0	0
Wed, 04 Nov 2020 17:17:31 GMT	97324	19485	17056
Wed, 04 Nov 2020 18:43:43 GMT	413599	91252	61845
Wed, 04 Nov 2020 18:52:32 GMT	384315	83710	98202
Wed, 04 Nov 2020 21:56:10 GMT	347765	135003	135875
Wed, 04 Nov 2020 21:56:11 GMT	0	0	0
Wed, 04 Nov 2020 23:24:59 GMT	527267	115927	116747
Thu, 05 Nov 2020 00:00:05 GMT	168968	48303	27124
Thu, 05 Nov 2020 00:01:07 GMT	245105	81030	72422
Thu, 05 Nov 2020 04:35:03 GMT	77458	26693	9073
Thu, 05 Nov 2020 14:12:37 GMT	741472	440356	352232
Thu, 05 Nov 2020 15:09:19 GMT	0	0	0
Thu, 05 Nov 2020 15:37:40 GMT	121985	35808	32768
Thu, 05 Nov 2020 15:38:45 GMT	136466	26674	17279
Thu, 05 Nov 2020 16:07:27 GMT	670898	111838	97739
Thu, 05 Nov 2020 16:22:46 GMT	0	0	0
Thu, 05 Nov 2020 17:21:45 GMT	0	0	0
Thu, 05 Nov 2020 18:23:03 GMT	90527	43279	6136
Thu, 05 Nov 2020 18:27:46 GMT	66268	27656	5895
Thu, 05 Nov 2020 18:36:37 GMT	51388	20812	4100
Thu, 05 Nov 2020 21:05:33 GMT	83867	24567	12495
Thu, 05 Nov 2020 23:26:07 GMT	395958	53285	101866
Fri, 06 Nov 2020 02:15:44 GMT	81427	16197	5744
Fri, 06 Nov 2020 02:38:01 GMT	0	0	0
Fri, 06 Nov 2020 02:38:34 GMT	177951	38173	27431
Fri, 06 Nov 2020 02:38:43 GMT	0	0	0
Fri, 06 Nov 2020 02:38:49 GMT	0	0	0
Fri, 06 Nov 2020 05:05:17 GMT	48092	13597	2483
Fri, 06 Nov 2020 07:20:19 GMT	336779	76252	58171
Fri, 06 Nov 2020 07:22:47 GMT	0	0	0
Fri, 06 Nov 2020 07:23:33 GMT	491702	112258	123584
Fri, 06 Nov 2020 15:07:43 GMT	308320	75107	99585
Fri, 06 Nov 2020 16:17:19 GMT	30551	8140	1816
Fri, 06 Nov 2020 16:28:39 GMT	262341	65426	37571
Fri, 06 Nov 2020 16:28:41 GMT	72098	18854	3863
Fri, 06 Nov 2020 16:28:42 GMT	154194	28698	13066
Fri, 06 Nov 2020 16:28:42 GMT	174190	34892	16413
Fri, 06 Nov 2020 16:31:20 GMT	26131	6285	1210
Fri, 06 Nov 2020 16:37:01 GMT	410884	78175	76840
Fri, 06 Nov 2020 17:38:17 GMT	645245	151813	159319
Fri, 06 Nov 2020 17:48:23 GMT	46442	16143	4251
Fri, 06 Nov 2020 17:51:37 GMT	68764	20750	7539
Fri, 06 Nov 2020 18:11:54 GMT	85354	23437	7448
Fri, 06 Nov 2020 19:31:21 GMT	73545	20242	14221
Fri, 06 Nov 2020 22:10:08 GMT	112089	44573	10021
Fri, 06 Nov 2020 22:23:29 GMT	0	0	0
Fri, 06 Nov 2020 22:45:07 GMT	63657	15553	4998
Fri, 06 Nov 2020 22:50:13 GMT	669933	166869	155417
Fri, 06 Nov 2020 23:25:39 GMT	574056	147048	183358
Sat, 07 Nov 2020 00:00:15 GMT	45584	10424	3679
Sat, 07 Nov 2020 01:11:58 GMT	124958	35421	19545
Sat, 07 Nov 2020 01:35:00 GMT	68009	24692	5052
Sat, 07 Nov 2020 02:26:58 GMT	373280	80640	100653
Sat, 07 Nov 2020 04:10:49 GMT	335172	87663	60206
Sat, 07 Nov 2020 13:20:18 GMT	0	0	0
Sat, 07 Nov 2020 13:20:19 GMT	0	0	0
Sat, 07 Nov 2020 13:20:20 GMT	0	0	0
Sat, 07 Nov 2020 13:28:02 GMT	0	0	0
Sat, 07 Nov 2020 14:45:37 GMT	467759	90062	100265
Sat, 07 Nov 2020 15:23:00 GMT	293047	89397	55988
Sat, 07 Nov 2020 15:36:36 GMT	1181111	883498	971803
Sat, 07 Nov 2020 16:58:32 GMT	26984	7069	1796
Sat, 07 Nov 2020 19:49:13 GMT	25519	8221	2114
Sat, 07 Nov 2020 20:40:59 GMT	47907	14313	4787
Sat, 07 Nov 2020 21:53:34 GMT	679688	259352	290040
Sat, 07 Nov 2020 21:54:48 GMT	972183	245985	435138
Sun, 08 Nov 2020 02:39:12 GMT	23335	7137	1385
Sun, 08 Nov 2020 05:23:49 GMT	39100	7669	1882
Sun, 08 Nov 2020 05:30:42 GMT	30000	5252	1505
Sun, 08 Nov 2020 05:42:15 GMT	38863	7187	2341
Sun, 08 Nov 2020 06:57:47 GMT	41271	7271	1674
Sun, 08 Nov 2020 13:38:19 GMT	387760	89674	65848
Sun, 08 Nov 2020 13:38:20 GMT	96465	21782	5872
Sun, 08 Nov 2020 13:38:21 GMT	234815	42935	19849
Sun, 08 Nov 2020 13:38:22 GMT	214346	35828	23404
Sun, 08 Nov 2020 14:17:33 GMT	512166	130023	148419
Sun, 08 Nov 2020 14:17:35 GMT	298763	53721	39970
Sun, 08 Nov 2020 15:16:32 GMT	54999	10361	4968
Sun, 08 Nov 2020 15:26:57 GMT	57626	13761	3188
Sun, 08 Nov 2020 16:15:56 GMT	49776	9246	4486
Sun, 08 Nov 2020 17:00:30 GMT	31428	8252	2128
Sun, 08 Nov 2020 18:52:47 GMT	684973	155006	172605
Sun, 08 Nov 2020 19:55:32 GMT	259742	72780	53286
Sun, 08 Nov 2020 21:13:37 GMT	20434	6324	1379
Sun, 08 Nov 2020 22:00:07 GMT	44848	10712	2983
Sun, 08 Nov 2020 22:18:51 GMT	402113	81714	65409
Sun, 08 Nov 2020 22:26:27 GMT	216412	54989	26279
Mon, 09 Nov 2020 00:22:05 GMT	249850	63060	25710
Mon, 09 Nov 2020 00:23:26 GMT	200117	52578	32147
Mon, 09 Nov 2020 04:14:54 GMT	154233	36739	13861
Mon, 09 Nov 2020 04:34:36 GMT	110318	24286	5213
Mon, 09 Nov 2020 04:34:42 GMT	112858	23994	5088
Mon, 09 Nov 2020 04:34:51 GMT	110165	23126	5771
Mon, 09 Nov 2020 04:34:59 GMT	132139	29782	9258
Mon, 09 Nov 2020 04:35:05 GMT	203610	56895	19862
Mon, 09 Nov 2020 04:54:16 GMT	219530	60393	32056
Mon, 09 Nov 2020 12:04:53 GMT	74551	23879	7354
Mon, 09 Nov 2020 12:31:44 GMT	715803	122213	121617
Mon, 09 Nov 2020 13:20:51 GMT	96704	28320	16357
Mon, 09 Nov 2020 15:15:35 GMT	32911	9827	2314
Mon, 09 Nov 2020 17:54:50 GMT	235914	42521	30556
Mon, 09 Nov 2020 17:54:50 GMT	381504	80681	36339
Mon, 09 Nov 2020 19:08:55 GMT	78614	20658	7271
Mon, 09 Nov 2020 19:36:26 GMT	489421	113212	45607
Mon, 09 Nov 2020 19:54:33 GMT	360524	90437	37399
Mon, 09 Nov 2020 20:02:19 GMT	345198	66204	27423
Mon, 09 Nov 2020 20:17:47 GMT	475825	92990	52253
Mon, 09 Nov 2020 20:21:43 GMT	633480	110128	78958
Mon, 09 Nov 2020 21:31:31 GMT	147335	70603	13417
Mon, 09 Nov 2020 21:41:08 GMT	106850	31729	16164
Mon, 09 Nov 2020 22:48:55 GMT	43086	9813	3435
Mon, 09 Nov 2020 23:11:47 GMT	154688	38538	10441
Mon, 09 Nov 2020 23:12:24 GMT	131665	31291	9203
Mon, 09 Nov 2020 23:14:38 GMT	153548	37086	13638
Mon, 09 Nov 2020 23:39:37 GMT	29321	7144	2419
Tue, 10 Nov 2020 00:19:24 GMT	256670	66401	31996
Tue, 10 Nov 2020 00:23:24 GMT	132053	31382	7945
Tue, 10 Nov 2020 00:38:59 GMT	155447	29613	11650
Tue, 10 Nov 2020 00:38:59 GMT	151379	29398	9783
Tue, 10 Nov 2020 00:38:59 GMT	252410	59155	21580
Tue, 10 Nov 2020 00:40:18 GMT	290028	66480	28204
Tue, 10 Nov 2020 00:41:12 GMT	330220	65018	49986
Tue, 10 Nov 2020 00:43:19 GMT	375766	81396	55443
Tue, 10 Nov 2020 00:58:05 GMT	100301	23297	9265
Tue, 10 Nov 2020 01:01:02 GMT	136820	36394	9405
Tue, 10 Nov 2020 01:03:15 GMT	134429	36818	8407
Tue, 10 Nov 2020 01:03:40 GMT	147436	40945	13809
Tue, 10 Nov 2020 01:27:06 GMT	214939	51966	31454
Tue, 10 Nov 2020 01:35:08 GMT	27546	7185	1704
Tue, 10 Nov 2020 02:04:31 GMT	39727	6320	1703
Tue, 10 Nov 2020 02:45:37 GMT	65202	16982	4487
Tue, 10 Nov 2020 04:36:35 GMT	71045	16962	3796
Tue, 10 Nov 2020 05:18:11 GMT	133061	37623	11756
Tue, 10 Nov 2020 05:38:07 GMT	250527	53421	38891
Tue, 10 Nov 2020 13:01:15 GMT	300569	61338	21770
Tue, 10 Nov 2020 13:05:44 GMT	372992	64018	46533
Tue, 10 Nov 2020 13:43:35 GMT	634443	122779	59873
Tue, 10 Nov 2020 13:44:22 GMT	1018074	250454	225955
Tue, 10 Nov 2020 14:40:13 GMT	22297	5612	2116
Tue, 10 Nov 2020 15:33:06 GMT	417261	83714	33346
Tue, 10 Nov 2020 15:33:47 GMT	521598	93469	59038
Tue, 10 Nov 2020 15:51:40 GMT	316114	65847	35034
Tue, 10 Nov 2020 16:04:57 GMT	346676	74666	35468
Tue, 10 Nov 2020 16:09:59 GMT	68153	47725	2871
Tue, 10 Nov 2020 16:49:04 GMT	193442	36318	11744
Tue, 10 Nov 2020 17:13:39 GMT	188581	36915	10836
Tue, 10 Nov 2020 17:13:57 GMT	400106	62226	52398
Tue, 10 Nov 2020 18:50:10 GMT	59023	17063	3500
